timestamp_utc,series,value
2026-09-25T11:21:45+00:00,"series",1
2026-09-25T11:22:00+00:00,"series",1
2026-09-25T11:22:15+00:00,"series",1
2026-09-25T11:22:30+00:00,"series",1
2026-09-25T11:22:45+00:00,"series",1
2026-09-25T11:23:00+00:00,"series",1
2026-09-25T11:23:15+00:00,"series",1
2026-09-25T11:23:30+00:00,"series",2
2026-09-25T11:23:45+00:00,"series",2
2026-09-25T11:24:00+00:00,"series",2
2026-09-25T11:24:15+00:00,"series",2
2026-09-25T11:24:30+00:00,"series",2
2026-09-25T11:24:45+00:00,"series",2
2026-09-25T11:25:00+00:00,"series",2
2026-09-25T11:25:15+00:00,"series",2
2026-09-25T11:25:30+00:00,"series",2
2026-09-25T11:25:45+00:00,"series",2
2026-09-25T11:26:00+00:00,"series",2
2026-09-25T11:26:15+00:00,"series",2
2026-09-25T11:26:30+00:00,"series",2
2026-09-25T11:26:45+00:00,"series",2
2026-09-25T11:27:00+00:00,"series",2
2026-09-25T11:27:15+00:00,"series",2
2026-09-25T11:27:30+00:00,"series",2
2026-09-25T11:27:45+00:00,"series",2
2026-09-25T11:28:00+00:00,"series",2
2026-09-25T11:28:15+00:00,"series",2
2026-09-25T11:28:30+00:00,"series",2
2026-09-25T11:28:45+00:00,"series",2
2026-09-25T11:29:00+00:00,"series",2
2026-09-25T11:29:15+00:00,"series",2
2026-09-25T11:29:30+00:00,"series",2
2026-09-25T11:29:45+00:00,"series",2
2026-09-25T11:30:00+00:00,"series",2
2026-09-25T11:30:15+00:00,"series",2
2026-09-25T11:30:30+00:00,"series",2
2026-09-25T11:30:45+00:00,"series",2
2026-09-25T11:31:00+00:00,"series",2
2026-09-25T11:31:15+00:00,"series",2
2026-09-25T11:31:30+00:00,"series",2
2026-09-25T11:31:45+00:00,"series",2
2026-09-25T11:32:00+00:00,"series",2
2026-09-25T11:32:15+00:00,"series",2
2026-09-25T11:32:30+00:00,"series",2
2026-09-25T11:32:45+00:00,"series",2
2026-09-25T11:33:00+00:00,"series",2
2026-09-25T11:33:15+00:00,"series",2
2026-09-25T11:33:30+00:00,"series",2
2026-09-25T11:33:45+00:00,"series",2
2026-09-25T11:34:00+00:00,"series",2
2026-09-25T11:34:15+00:00,"series",2
2026-09-25T11:34:30+00:00,"series",2
2026-09-25T11:34:45+00:00,"series",2
2026-09-25T11:35:00+00:00,"series",2
2026-09-25T11:35:15+00:00,"series",2
2026-09-25T11:35:30+00:00,"series",2
2026-09-25T11:35:45+00:00,"series",2
2026-09-25T11:36:00+00:00,"series",2
2026-09-25T11:36:15+00:00,"series",2
2026-09-25T11:36:30+00:00,"series",2
2026-09-25T11:36:45+00:00,"series",2
2026-09-25T11:37:00+00:00,"series",2
2026-09-25T11:37:15+00:00,"series",2
2026-09-25T11:37:30+00:00,"series",2
2026-09-25T11:37:45+00:00,"series",2
2026-09-25T11:38:00+00:00,"series",2
2026-09-25T11:38:15+00:00,"series",2
2026-09-25T11:38:30+00:00,"series",2
2026-09-25T11:38:45+00:00,"series",2
2026-09-25T11:39:00+00:00,"series",2
2026-09-25T11:39:15+00:00,"series",2
2026-09-25T11:39:30+00:00,"series",2
2026-09-25T11:39:45+00:00,"series",2
2026-09-25T11:40:00+00:00,"series",2
2026-09-25T11:40:15+00:00,"series",2
2026-09-25T11:40:30+00:00,"series",2
2026-09-25T11:40:45+00:00,"series",2
2026-09-25T11:41:00+00:00,"series",2
2026-09-25T11:41:15+00:00,"series",2
2026-09-25T11:41:30+00:00,"series",2
2026-09-25T11:41:45+00:00,"series",2
2026-09-25T11:42:00+00:00,"series",2
2026-09-25T11:42:15+00:00,"series",2
2026-09-25T11:42:30+00:00,"series",2
2026-09-25T11:42:45+00:00,"series",2
2026-09-25T11:43:00+00:00,"series",2
2026-09-25T11:43:15+00:00,"series",2
2026-09-25T11:43:30+00:00,"series",2
2026-09-25T11:43:45+00:00,"series",2
2026-09-25T11:44:00+00:00,"series",2
2026-09-25T11:44:15+00:00,"series",2
2026-09-25T11:44:30+00:00,"series",2
2026-09-25T11:44:45+00:00,"series",2
2026-09-25T11:45:00+00:00,"series",2
2026-09-25T11:45:15+00:00,"series",2
2026-09-25T11:45:30+00:00,"series",2
2026-09-25T11:45:45+00:00,"series",2
2026-09-25T11:46:00+00:00,"series",2
2026-09-25T11:46:15+00:00,"series",2
2026-09-25T11:46:30+00:00,"series",2
2026-09-25T11:46:45+00:00,"series",2
2026-09-25T11:47:00+00:00,"series",2
2026-09-25T11:47:15+00:00,"series",2
2026-09-25T11:47:30+00:00,"series",2
2026-09-25T11:47:45+00:00,"series",2
2026-09-25T11:48:00+00:00,"series",2
2026-09-25T11:48:15+00:00,"series",2
2026-09-25T11:48:30+00:00,"series",2
2026-09-25T11:48:45+00:00,"series",2
2026-09-25T11:49:00+00:00,"series",2
2026-09-25T11:49:15+00:00,"series",2
2026-09-25T11:49:30+00:00,"series",2
2026-09-25T11:49:45+00:00,"series",2
2026-09-25T11:50:00+00:00,"series",2
2026-09-25T11:50:15+00:00,"series",2
2026-09-25T11:50:30+00:00,"series",2
2026-09-25T11:50:45+00:00,"series",2
2026-09-25T11:51:00+00:00,"series",2
2026-09-25T11:51:15+00:00,"series",2
