timestamp_utc,series,value
2026-09-25T11:34:15+00:00,"series",1.2680049999999963
2026-09-25T11:34:30+00:00,"series",0.2411311393926619
2026-09-25T11:34:45+00:00,"series",0.24102567946791817
2026-09-25T11:35:00+00:00,"series",0.24096459089911612
2026-09-25T11:35:15+00:00,"series",0.24092473755168195
2026-09-25T11:35:30+00:00,"series",0.24089668645980072
2026-09-25T11:35:45+00:00,"series",0.24096492670595568
2026-09-25T11:36:00+00:00,"series",NaN
2026-09-25T11:36:15+00:00,"series",NaN
2026-09-25T11:36:30+00:00,"series",NaN
2026-09-25T11:36:45+00:00,"series",NaN
2026-09-25T11:37:00+00:00,"series",NaN
2026-09-25T11:37:15+00:00,"series",NaN
2026-09-25T11:37:30+00:00,"series",NaN
2026-09-25T11:37:45+00:00,"series",NaN
2026-09-25T11:38:00+00:00,"series",NaN
2026-09-25T11:38:15+00:00,"series",NaN
2026-09-25T11:38:30+00:00,"series",NaN
2026-09-25T11:38:45+00:00,"series",NaN
2026-09-25T11:39:00+00:00,"series",NaN
2026-09-25T11:39:15+00:00,"series",NaN
2026-09-25T11:39:30+00:00,"series",NaN
2026-09-25T11:39:45+00:00,"series",NaN
2026-09-25T11:40:00+00:00,"series",NaN
2026-09-25T11:40:15+00:00,"series",NaN
2026-09-25T12:26:30+00:00,"series",0.2425
2026-09-25T12:26:45+00:00,"series",0.2425
2026-09-25T12:27:00+00:00,"series",0.24250000000000002
2026-09-25T12:27:15+00:00,"series",0.2425
2026-09-25T12:27:30+00:00,"series",0.2425
2026-09-25T12:27:45+00:00,"series",0.24249999999999997
2026-09-25T12:28:00+00:00,"series",0.24249999999999997
2026-09-25T12:28:15+00:00,"series",NaN
2026-09-25T12:28:30+00:00,"series",NaN
2026-09-25T12:28:45+00:00,"series",NaN
2026-09-25T12:29:00+00:00,"series",NaN
2026-09-25T12:29:15+00:00,"series",NaN
2026-09-25T12:29:30+00:00,"series",NaN
2026-09-25T12:29:45+00:00,"series",NaN
2026-09-25T12:30:00+00:00,"series",NaN
2026-09-25T12:30:15+00:00,"series",NaN
2026-09-25T12:30:30+00:00,"series",NaN
2026-09-25T12:30:45+00:00,"series",NaN
2026-09-25T12:31:00+00:00,"series",NaN
2026-09-25T12:31:15+00:00,"series",NaN
2026-09-25T12:31:30+00:00,"series",NaN
2026-09-25T12:31:45+00:00,"series",NaN
2026-09-25T12:32:00+00:00,"series",NaN
2026-09-25T12:32:15+00:00,"series",NaN
2026-09-25T12:34:45+00:00,"series",2.425
2026-09-25T12:35:00+00:00,"series",1.8999999999999986
2026-09-25T12:35:15+00:00,"series",1.337500000000001
2026-09-25T12:35:30+00:00,"series",1.3374999999999986
2026-09-25T12:35:45+00:00,"series",1.3374999999999968
2026-09-25T12:36:00+00:00,"series",1.3375000000000012
2026-09-25T12:36:15+00:00,"series",1.3375
2026-09-25T12:36:30+00:00,"series",1.327047510351919
2026-09-25T12:36:45+00:00,"series",0.24774999999999997
2026-09-25T12:37:00+00:00,"series",NaN
2026-09-25T12:37:15+00:00,"series",NaN
2026-09-25T12:37:30+00:00,"series",NaN
2026-09-25T12:37:45+00:00,"series",NaN
2026-09-25T12:38:00+00:00,"series",NaN
2026-09-25T12:38:15+00:00,"series",NaN
2026-09-25T12:38:30+00:00,"series",NaN
2026-09-25T12:38:45+00:00,"series",NaN
2026-09-25T12:39:00+00:00,"series",NaN
2026-09-25T12:39:15+00:00,"series",NaN
2026-09-25T12:39:30+00:00,"series",NaN
2026-09-25T12:39:45+00:00,"series",NaN
2026-09-25T12:40:00+00:00,"series",NaN
2026-09-25T12:40:15+00:00,"series",NaN
2026-09-25T12:40:30+00:00,"series",NaN
2026-09-25T12:40:45+00:00,"series",NaN
