METRIC                                          LIMIT    USAGE
COMMITTED_NVIDIA_A100_80GB_GPUS                     0        0
COMMITTED_NVIDIA_A100_GPUS                          0        0
COMMITTED_NVIDIA_K80_GPUS                           0        0
COMMITTED_NVIDIA_L4_GPUS                            8        0
COMMITTED_NVIDIA_P100_GPUS                          0        0
COMMITTED_NVIDIA_P4_GPUS                            0        0
COMMITTED_NVIDIA_T4_GPUS                            0        0
COMMITTED_NVIDIA_V100_GPUS                          0        0
CPUS                                              200        4
NVIDIA_A100_80GB_GPUS                               0        0
NVIDIA_A100_GPUS                                    1        0
NVIDIA_K80_GPUS                                     8        0
NVIDIA_L4_GPUS                                      8        0
NVIDIA_P100_GPUS                                    1        0
NVIDIA_P100_VWS_GPUS                                1        0
NVIDIA_P4_GPUS                                      1        0
NVIDIA_P4_VWS_GPUS                                  1        0
NVIDIA_T4_GPUS                                      4        0
NVIDIA_T4_VWS_GPUS                                  2        0
NVIDIA_V100_GPUS                                    1        0
PREEMPTIBLE_CPUS                                    0        0
PREEMPTIBLE_NVIDIA_A100_80GB_GPUS                   0        0
PREEMPTIBLE_NVIDIA_A100_GPUS                       16        0
PREEMPTIBLE_NVIDIA_K80_GPUS                         1        0
PREEMPTIBLE_NVIDIA_L4_GPUS                          8        0
PREEMPTIBLE_NVIDIA_P100_GPUS                        1        0
PREEMPTIBLE_NVIDIA_P100_VWS_GPUS                    1        0
PREEMPTIBLE_NVIDIA_P4_GPUS                          1        0
PREEMPTIBLE_NVIDIA_P4_VWS_GPUS                      1        0
PREEMPTIBLE_NVIDIA_T4_GPUS                          4        0
PREEMPTIBLE_NVIDIA_T4_VWS_GPUS                      2        0
PREEMPTIBLE_NVIDIA_V100_GPUS                        1        0
SSD_TOTAL_GB                                    20480       60
